Title,Category,Type,Description,Application,Reference 
.sb, Developer Files, Scratch Project File, An SB file is a project created by Scratch. an application development platform created at MIT (the Massachusetts Institute of Technology).  It contains all the project information including any imported media such as sprites. sounds. and images.  SB files were replaced by .SB2 files. which are saved in the Scratch 2.0 format., Scratch 1.4|Scratch Desktop|Scratch 2.0 Offline Editor|Panther|Scratch 1.4|Scratch Desktop|Scratch 2.0 Offline Editor|Scratch 1.4|Scratux|Scratch Mobile|Scratch|Scratch Mobile|Microsoft Small Basic|Slax, https://fileinfo.com//extension/sb
.filters, Developer Files, Visual C++ Project Filters File, File filter created by Visual C++. which is part of Microsoft's Visual Studio development software; contains ordering rules for displaying file types within the Visual Studio Solution Explorer panel; used for storing filter settings for a specific project., Empty, https://fileinfo.com//extension/filters
.gradle, Developer Files, Gradle Script, A GRADLE file is a script created by Gradle. which is a tool used to help teams build and deliver software.  It contains a script. which includes a list of commands to be executed by Gradle.  GRADLE files are typically used for storing build scripts in a domain-specific language based on Groovy., Gradle|Google Android Studio|Gradle|Google Android Studio|Gradle|Google Android Studio, https://fileinfo.com//extension/gradle
.appxmanifest, Developer Files, Windows 10 App Manifest, An APPXMANIFEST file is an XML file that software developers use for packaging Windows 10 apps.  The file contains settings such as the app identity. system requirements. and icon assets.  Windows uses this information when installing the app or displaying information about the software to users., Empty, https://fileinfo.com//extension/appxmanifest
.b, Game Files, BuRg3r Definition File, A B file is a saved game file created by Grand Theft Auto III (GTA3). an automotive-based action game.  It saves gameplay information so the game can be resumed from the save point at a later time.  B files are used by multiple editions of GTA3. including Vice City and San Andreas., Rockstar Games Grand Theft Auto 3|Rockstar Games Grand Theft Auto: Vice City|Rockstar Games Grand Theft Auto: San Andreas|FreeBASIC|PureBasic|PowerBASIC, https://fileinfo.com//extension/b
.rbxmx, Developer Files, Roblox Model, An RBXMX files is a 3D model used by Roblox Studio. a Roblox building tool.  It contains a model. which may be a vehicle. person. animal. plant. building. or another object., Empty, https://fileinfo.com//extension/rbxmx
.class, Developer Files, Java Class File, A CLASS file is a compiled .JAVA file created by the Java compiler.  It contains bytecode. which is binary program code that is executable when run by a Java Virtual Machine (JVM).  CLASS files are commonly bundled into .JAR files. which are included in the $CLASSPATH environment variable for execution., dirtyJOE|JD-GUI|DJ Java Decompiler|JD-GUI|JD-GUI, https://fileinfo.com//extension/class
.aar, Developer Files, Android Archive, An AAR file contains a software library used for developing Android apps.  It is structurally similar to an .APK file (Android Package). but it allows a developer to store a reusable component that can be used across multiple different apps.  Examples of reusable Android components include Activities. Services. and user interface layouts., Google Android Studio|Google Android Studio|Google Android Studio, https://fileinfo.com//extension/aar
.sb2, Developer Files, Scratch 2.0 Project File, An SB2 file is a program created with Scratch. an application development platform created at the Massachusetts Institute of Technology (MIT).  It contains Scratch programming language code used for creating stories. small games. and animations.  SB2 files replaced the original Scratch .SB files., Scratch Desktop|Scratch 2.0 Offline Editor|Panther|Scratch Desktop|Scratch 2.0 Offline Editor|Scratux|Scratch Mobile|Scratch|Scratch Mobile, https://fileinfo.com//extension/sb2
.sv, Developer Files, SystemVerilog Source Code File, An SV file is a source code file written in the SystemVerilog language. which is a superset of the Verilog  language used for specifying models of electronic systems.  It contains SystemVerilog source code., Sigasi Studio|Mentor Graphics ModelSim|Sigasi Studio|Sigasi Studio|Mentor Graphics ModelSim, https://fileinfo.com//extension/sv
.set, Settings Files, Alpha Five Set Data Dictionary File," A SET file contains properties used by Xerox Document Library software. which organizes documents into virtual ""cabinets"" on a computer.  It stores property sets that can be applied to cabinets created by Xerox FreeFlow software.", Rockstar Games Grand Theft Auto: San Andreas, https://fileinfo.com//extension/set
.cs, Developer Files, C# Source Code File," A CS file is a source code file written in C# (pronounced ""C Sharp""). an object-oriented programming language created by Microsoft for use with the .NET Framework.  It is used for developing a range of applications. from simple desktop programs to applications for distributed environments.", IC Code SharpDevelop|Microsoft Visual Studio Code|Microsoft Visual Studio Code|Microsoft Visual Studio Code|Sanny Builder|Rockstar Games Grand Theft Auto: San Andreas, https://fileinfo.com//extension/cs
.fcl, Developer Files, ForeUI Custom Library File, Library file created by ForeUI. a program used to create user interface mockups; saved in a compressed .ZIP format and contains .FCE files. which store custom user-made elements; used for sharing collections of custom elements., EaSynth Solution ForeUI, https://fileinfo.com//extension/fcl
.egg, 3D Image Files, Python Distribution Package, An EGG file is a 3D model or animation used by Panda3D. a 3D engine designed primarily for game development.  It contains a Panda3D model. actor. animation. or actor and animation pair.  EGG files are created by exporting models and animations from other 3D modeling programs. such as Autodesk Maya or Blender. and converting them for use in Panda3D., Panda3D|Panda3D|Panda3D|Bandisoft Bandizip|UnEgg|Microsoft File Explorer|funzip|p7zip|Beat Games Beat Saber, https://fileinfo.com//extension/egg
.kv, Developer Files, Kivy Language File, Kivy language file used by Kivy. an open source Python library used to develop multi-touch enabled. cross-platform applications; may contain rule definitions. a root widget. dynamic class definitions. and templates., Kivy|Kivy|Kivy, https://fileinfo.com//extension/kv
.handlebars, Developer Files, Handlebars Template, File created by Handlebars. a web template framework; contains a template written in HTML code and embedded with handlebars expressions; same as the .HBS file., Handlebars|Adobe Edge Code CC|Adobe Edge Code CC, https://fileinfo.com//extension/handlebars
.ddm, Developer Files, Alpha Five Data Dictionary Memo File, File created by Alpha Five. an IDE that enables users to develop Web. desktop. and mobile applications;  contains table objects such as report designs. saved operations. and layouts all in memo format. like the .FPT file; linked with a .DDD file as it contains the code for the field rules. designs. etc. that are stored in the DDD file., Empty, https://fileinfo.com//extension/ddm
.scratch, Developer Files, Scratch Project File, Program created with Scratch. an educational software development platform created at MIT; stores source code written in the Scratch programming language; used for saving simple games and interactive applications., Empty, https://fileinfo.com//extension/scratch
.tres, Developer Files, Godot Engine Text Resource File, A TRES file is a resource file created by Godot Engine. a free and open source game engine used to create 2D and 3D games.  It contains data in plain text that is referenced by Godot Engine nodes to perform various functions in the games. such as simulating physics. setting user interfaces. and drawing sprites.  TRES files can be opened and edited using the Inspector included with Godot Engine., Godot Engine|Godot Engine|Godot Engine, https://fileinfo.com//extension/tres
.appx, Developer Files, Windows App Package, An APPX file is a Windows application package file.  It contains all the metadata. files. and credentials needed to install a Windows application., Empty, https://fileinfo.com//extension/appx
.pde, Developer Files, Arduino Sketch, Software application written with Arduino. an IDE used for prototyping electronics; contains source code written in the Arduino programming language; enables developers to control the electronics on an Arduino circuit board., Arduino Web Editor|Autodesk Tinkercad|ArduinoDroid|Chocolat|Kod, https://fileinfo.com//extension/pde
.glade, Developer Files, Glade Project File, User interface design project created with Glade. a tool for developing GUIs for the GTK+ and the GNOME desktop environment; may contain windows. text. buttons. icons. and other user interface objects; each object within the interface has a set of properties. which may include actions., Glade|Glade|Glade, https://fileinfo.com//extension/glade
.mdown, Developer Files, Markdown File, Text file written using the Markdown language. a textual markup language used for creating documentation; saves plain text as well as markups that specify how to stylize and format the text (i.e.. indentations. italics. headers. etc.); often used for documenting source code for software development projects., Empty, https://fileinfo.com//extension/mdown
.spt, CAD Files, ESPL Programming File, Contains procedural tree data used by SpeedTreeCAD. a tree modeling program; includes information required to construct the tree geometry. as well as data for LOD implementation. wind animation. and cloning., IDV SpeedTreeCAD|Ensign Software Ensign|Hell Quest, https://fileinfo.com//extension/spt
.xap, Developer Files, XACT Project, Project created with the Microsoft Cross-Platform Audio Creation Tool (XACT); saved in a text format and contains the intermediate form of the information produced by XACT; includes complete descriptions of wave banks (.XWB files). sound banks (.XSB files). and global settings (.XGS files)., Empty, https://fileinfo.com//extension/xap
.tpz, Developer Files, Godot Engine Export Template Archive, A TPZ file is a Zip-compressed archive used by Godot Engine. a free and open source game engine.  It is used to distribute export templates that. once installed in Godot Engine. allow developers to export their project as a package that can be run on other platforms without Godot Engine installed., Godot Engine|Godot Engine|Godot Engine|Amazon Kindle for PC|Amazon Kindle for Mac, https://fileinfo.com//extension/tpz
.b, Game Files, BASIC Source File, A B file is a saved game file created by Grand Theft Auto III (GTA3). an automotive-based action game.  It saves gameplay information so the game can be resumed from the save point at a later time.  B files are used by multiple editions of GTA3. including Vice City and San Andreas., Rockstar Games Grand Theft Auto 3|Rockstar Games Grand Theft Auto: Vice City|Rockstar Games Grand Theft Auto: San Andreas|FreeBASIC|PureBasic|PowerBASIC, https://fileinfo.com//extension/b
.luc, Developer Files, Compiled Lua Source File, Compiled Source code file used to extend applications such as PC video games; contains a compiled .LUA script., LuaBinaries|LuaDec|LuaBinaries|LuaBinaries|LuaDec, https://fileinfo.com//extension/luc
.lua, Developer Files, Lua Source File, A LUA file contains source code written in Lua. a light-weight programming language designed for extending or adding functionality to software applications.  The Lua scripting language syntax is simple but supports a large number of data types and operators., Addon Studio for World of Warcraft|Blizzard World of Warcraft Interface AddOn Kit|Microsoft Visual Studio Code|Blizzard World of Warcraft Interface AddOn Kit|Microsoft Visual Studio Code|Microsoft Visual Studio Code, https://fileinfo.com//extension/lua
.mf, Game Files, Java Manifest File, An MF file is an archive used by games developed by Panda3D. a free 3D game engine.  It contains game resource files. such as sound effects. texture. and models.  MF files are compressed with Zip compression., Panda3D|Panda3D|Panda3D, https://fileinfo.com//extension/mf
.aab, Developer Files, Android App Bundle, An AAB file is an Android App Bundle that developers use for uploading apps to Google Play.  After upload. Google Play uses a process called Dynamic Delivery to deliver optimized versions of app packages (.APK files) to user devices so they contain only the specific portions of the app that each device needs to run.  With Dynamic Delivery. app install sizes can be reduced significantly on user devices., Google bundletool|Google Android Studio|Google bundletool|Google Android Studio|Google bundletool|Google Android Studio, https://fileinfo.com//extension/aab
.ino, Developer Files, Arduino Sketch File, An INO file is a software program created with Arduino. an open-source electronics prototyping platform.  It contains source code written in the Arduino programming language.  INO files are used for controlling an Arduino circuit board., Arduino Web Editor|Autodesk Tinkercad|ArduinoDroid, https://fileinfo.com//extension/ino
.pkl, Developer Files, Python Pickle File, A PKL file is a file created by pickle. a Python module that enabless objects to be serialized to files on disk and deserialized back into the program at runtime.  It contains a byte stream that represents the objects., Empty, https://fileinfo.com//extension/pkl
.arsc, Developer Files, Android Package Resource File, Application resource file used by programs developed for Google's Android mobile operating system; contains compiled resources in a binary format; may include images. strings. or other data used by the program; usually included in an .APK package file., Empty, https://fileinfo.com//extension/arsc
.ap_, Developer Files, ADT Android Developer Package, Developer file created by Android Development Tools (ADT). a set of plug-ins for the Eclipse IDE that facilitate app developement for the Android platform; similar to an Android package (.APK file) but contains the development resources before they are built into a final package; uses the filename resources.ap_ and is automatically created by ADT., Empty, https://fileinfo.com//extension/ap_
.sln, Developer Files, Visual Studio Solution File, An SLN file is a structure file used for organizing projects in Microsoft Visual Studio.  It contains text-based information about the project environment and project state., VSoft Technologies FinalBuilder, https://fileinfo.com//extension/sln
.py, Developer Files, Python Script, A PY file is a program file or script written in Python. an interpreted object-oriented programming language.  It can be created and edited with a text editor. but requires a Python interpreter to run.  PY files are often used for programming web servers and other administrative computer systems., JetBrains PyCharm|JetBrains PyCharm|JetBrains PyCharm|Online Python Editor and IDE, https://fileinfo.com//extension/py
.arr, Developer Files, MultiMedia Fusion Array File, File created by MultiMedia Fusion. a program used for building video games; saves an array of text or numbers that can be used as values in the game; often saved with a .MFA development application file., Empty, https://fileinfo.com//extension/arr
.ypr, Developer Files, BYOB Project File, Project file created by BYOB (Build Your Own Blocks). a visual programming environment that is an extension of MIT's Scratch software; contains an arrangement of visual blocks and flows between the blocks that make up the data and logic for the program; enables saving and loading of programs., Empty, https://fileinfo.com//extension/ypr
.applet, Developer Files, Eclipse Java Applet Policy File, Developer file created by Eclipse. a software development application; generated by Eclipse automatically when creating a new applet project and saved to the project root folder as the file java.security.policy; contains security permissions for the applet., Empty, https://fileinfo.com//extension/applet
.jav, Developer Files, Java Source File, Contains the source code of a program written in the Java programming language; may be one of many Java source files referenced within a programming project or may contain all the source code in one file., javac, https://fileinfo.com//extension/jav
.dev, Developer Files, Dev-C++ Project File, Programming project created with Dev-C++. an open-source Integrated Development Environment (IDE) for C/C++ software programming; DEV-C++ is distributed under the GNU General Public License., BloodshedSoftware Dev-C++|Orwell Dev-C++, https://fileinfo.com//extension/dev
.md, Developer Files, Markdown Documentation File, An MD file is a text file created using one of several possible dialects of the Markdown language.  It is saved in plain text format but includes inline text symbols that define how to format the text (e.g.. bold. indentations. headers. table formatting).  MD files are designed for authoring plain text documentation that can be easily converted to HTML., Daring Fireball Markdown|MacDown|Daring Fireball Markdown|Daring Fireball Markdown|GitHub|SBWin|PS2 Save Builder, https://fileinfo.com//extension/md
.java, Developer Files, Java Source Code File, A JAVA file is a source code file written in the Java programming language. which was originally developed by Sun Microsystems but is now maintained by Oracle.  It uses an object-oriented approach. where structured data types. called classes. are used to instantiate objects at runtime., Google Android Studio|Xinox JCreator|Google Android Studio|Google Android Studio|javac, https://fileinfo.com//extension/java
.cpp, Developer Files, C++ Source Code File, A CPP file is a source code file written in C++. a popular programming language that adds features such as object-oriented programming to C.  It may be a standalone program. containing all the code or one of many files referenced in a development project.  CPP files must be compiled by a C++ compiler for the target platform before the code can be run., Microsoft Visual Studio Code|Eclipse IDE for C Developers|BloodshedSoftware Dev-C++|Eclipse IDE for C Developers|Freescale CodeWarrior Development Tools|Eclipse IDE for C Developers, https://fileinfo.com//extension/cpp
.rbxm, Developer Files, Roblox Model, An RBXM file contains a 3D model created by Roblox Studio. an IDE for the online multiplayer Roblox game.  It stores a game object. such as a shirt. pants. hat. building. vehicle. stairs. animal. or plant.  RBXM files may also contain .LUA scripts used to create content with Roblox Studio., Empty, https://fileinfo.com//extension/rbxm
.bpr, Developer Files, Borland C++Builder Project File, Project file created by Borland C++Builder 6. an older IDE now replaced by Embarcadero C++ Builder; saves the project information for a C++ development project; cannot be converted to the newer C++Builder format without performing the conversion manually., Empty, https://fileinfo.com//extension/bpr
.psd1, Developer Files, Windows PowerShell Data File, File used by Windows PowerShell. a shell program that includes more advanced features than the Windows Command Prompt; contains various configuration information for a PowerShell script or module., Empty, https://fileinfo.com//extension/psd1
.juk, Developer Files, Juka Source Code File, A JUK file is a file written in Juka. which is a programming language designed for cross-platform rapid prototyping.  It contains Juka source code that can be compiled into intermediate .NET code for desktop platforms or compiled into a native mobile app., Juka|Juka|Juka, https://fileinfo.com//extension/juk
.worksheet, Developer Files, BBEdit Shell Worksheet File, Developer file created by BBEdit. a Mac OS X source code development program; stores an interactive programmer worksheet. which can save source code text as well as execute commands in-line while editing; used for adding Unix command line features to source code development., Empty, https://fileinfo.com//extension/worksheet
.basex, Developer Files, BaseX Data File, File used by BaseX. an XML database engine used for storing and managing structured XML data; may be used for the main database table file (tbl.basex) or as a file extension for a BaseX configuration file., BaseX|BaseX|BaseX, https://fileinfo.com//extension/basex
.rs, Developer Files, Rust Source Code File, Developer file written in Rust. a programming language used for developing large-scale. high-performance applications; uses language constructs that help developers avoid common programming errors. such as buffer overflows or lack of type safety., rustc|rustc|Utilant RapidSketch, https://fileinfo.com//extension/rs
.pyproj, Developer Files, Visual Studio Python Project, A PYPROJ file is a Python programming project created with Microsoft Visual Studio. a software development tool.  It contains references to source files associated used by the project. along with project settings. such as build information and settings for integrating with source-control systems., Empty, https://fileinfo.com//extension/pyproj
.appex, Developer Files, OS X Application and System Extension File, An APPEX file is an extension bundle created to add functionality to an application built in Xcode. a software development IDE used for developing iOS and OS X apps.  It contains an extension which consists of code used to perform a task such as posting to a social channel from a web browser. replacing the iOS default keyboard with a custom keyboard. or providing access to and managing a repository of files.  APPEX files are packaged inside their containing .APP files., Empty, https://fileinfo.com//extension/appex
.dsk, Disk Image Files, Borland Project Desktop File," Generic disk image format created by disk imaging programs; may be from an older program that images 3.5"" diskettes. or from a newer program that creates larger disk images; often compressed to save disk space; can be mounted to appear as a disk on the desktop for Mac or within My Computer for Windows.", SoftAmbulance Partition Doctor|R-Tools Technology R-Studio|DSKE Simple IDs, https://fileinfo.com//extension/dsk
.edm, Developer Files, Adobe Extension Data Markup Language File, Settings file used by Adobe Dreamweaver. a program used to create websites; contains user-defined instructions for how to display and populate data within the application; commonly used for developing custom server behaviors., Empty, https://fileinfo.com//extension/edm
.dws, CAD Files, Dyalog Workspace File, Drawing verification file used by AutoCAD. a 3D design and engineering CAD application; contains properties that must be conformed to in another drawing; used for defining drawing standards and for detecting violations during the checking process; can be used to specify standards for layer properties. dimension styles. linetypes. and text styles., Dyalog|Dyalog|Dyalog, https://fileinfo.com//extension/dws
.global, Developer Files, Global Makefile, Configuration file that defines the locations of source files used to compile a program; used by PHP. C/C++. and other languages; automates the compilation process and compiles only new or modified files; commonly named makefile.global., Empty, https://fileinfo.com//extension/global
.mq5, Developer Files, MQL5 Source Code File, An MQ5 file is a program written for MetaTrader. an online trading platform.  It contains source code written in MetaQuotes Language 5 (MQL5). which includes classes. variables. functions. and comments that can be compiled into an .EX5 file.  MQ5 files replaced .MQ4 files with the release of MetaTrader 5., MetaQuotes MetaTrader|MetaQuotes MetaTrader, https://fileinfo.com//extension/mq5
.mdzip, Developer Files, MagicDraw Project Archive, File created by MagicDraw. a program used for modeling software architectures and business processes; saves an archive of project files in a compressed .ZIP format; used for saving. backing up. and transferring UML projects as a single file., Empty, https://fileinfo.com//extension/mdzip
.lrf, Game Files, Microsoft Linker Response File, Game replay created by LOLReplay. a game replay recorder and manager for League of Legends (LoL); used for re-watching gameplay and sharing the replay with others online; can only be opened by LOLReplay (not by the League of Legends game). but still requires that League of Legends be installed on the computer., BookDesigner, https://fileinfo.com//extension/lrf
.tmproj, Developer Files, TextMate Project File, Project file created by TextMate. a Mac text editor that supports editing and syntax highlighting in many programming languages; saved in an XML format and contains references to project files; also stores the currently opened file. preferences. and editor window settings., Empty, https://fileinfo.com//extension/tmproj
.pnt, Developer Files, Panther Project, Project file created by Panther. a visual toolkit used to develop small interactive applications; stores all game information. including motion instructions. variables. logic. audio. and other assets; used for creating interactive games. animations. stories. music. and art., Panther|Apple MacPaint, https://fileinfo.com//extension/pnt
.iwb, Developer Files, IWBasic Source Code File, Source code file created by IWBasic (formerly Emergence BASIC). an IDE used to develop Windows 32-bit applications; written in the iBasic programming language. which is similar to BASIC and was developed by IonicWind Software., IonicWind IWBasic, https://fileinfo.com//extension/iwb
.dex, Developer Files, Dalvik Executable File," A DEX file is an executable file saved in a format that contains compiled code written for Android. Google's Linux-based mobile phone platform.  It is technically referred to as a ""Dalvik Executable."" and can be interpreted by the Dalvik virtual machine.", NCH Disketch|DEXIS DEXview, https://fileinfo.com//extension/dex
.vbp, Developer Files, Visual Basic Project File, Project file created by Visual Basic. a software development tool for Windows; stores project information in a plain text format; includes references to project resources such as forms (.FRM files). source code files (.BAS extension). and class modules (.CLS files); can be built into a Windows program executable (.EXE)., Empty, https://fileinfo.com//extension/vbp
.config, Developer Files, Configuration File, A CONFIG file is a configuration file used by various applications.  It contains plain text parameters that define settings or preferences for building or running a program.  CONFIG files are often referenced by software development programs to configure applications., Empty, https://fileinfo.com//extension/config
.sex, Developer Files, Alpha Five Set Data Dictionary Index File, Index file created by Alpha Five. a desktop. Web. and mobile IDE; contains index data referenced by Alpha Five to locate any set components; created along with .SET and .SEM linked set files; similar to .CDX and .DDX Alpha Five index files., Empty, https://fileinfo.com//extension/sex
.dcr, Web Files, Delphi Component Resource File, A DCR file is an interactive media file saved in the Shockwave format for distribution on the web.  It is often used for creating web games and other highly interactive content., Adobe Shockwave Player|Adobe Shockwave Player|Adobe Photoshop Elements 2020|Adobe Photoshop Elements 2020|High Criteria Liberty Court Recorder|High Criteria Liberty Player|High Criteria Liberty Player|High Criteria Liberty Player|High Criteria Liberty Player|BIS Digital DCR Player|BIS Digital Digital Court Recorder|BIS Digital DCR Player|BIS Digital Digital Court Recorder, https://fileinfo.com//extension/dcr
.resources, Developer Files, Visual Studio Resource File, File created by Visual Studio. a software development application created by Microsoft; may contain both strings and objects. but objects must be serializable; used for bundling and persisting application assets so they can be accessed in a standard way in Visual Studio programs., Empty, https://fileinfo.com//extension/resources
.gmx, Developer Files, GameMaker File, Compressed project file created by YoYo Games GameMaker: Studio. a game development application; contains a game project; includes sounds. scripts. sprites. backgrounds. rooms. objects. fonts. shaders. and constants used to build the game., YoYo Games GameMaker: Studio, https://fileinfo.com//extension/gmx
.ts, Video Files, TypeScript File, A TS file is a video stream file used to store video on a DVD.  It compresses video data using standard MEPG-2 (.MPEG) video compression.  The TS file format is used primarily to save streamed or broadcast video., Apple DVD Player|SMPlayer|TypeScript|TypeScript|TypeScript, https://fileinfo.com//extension/ts
.sma, Developer Files, AMX Mod Plugin Source File, Contains the source code of plugin created for AMX Mod or AMX Mod X; used for modifying Valve's Half-Life and similar games; must be compiled into a binary plugin file in order to be used by the program., Intergraph SmartPlant Instrumentation, https://fileinfo.com//extension/sma
.sh, Developer Files, Bash Shell Script, An SH file is a script programmed for bash. a type of Unix shell (Bourne-Again SHell).  It contains instructions written in the Bash language and can be executed by typing text commands within the shell's command-line interface., Cygwin|Git BASH|iTerm, https://fileinfo.com//extension/sh
.c, Developer Files, C/C++ Source Code File, A C file is a source code file for a C or C++ program.  It may include an entire program's source code. or may be one of many source files referenced within a programming project.  C files can be edited using a basic text editor. but will not show syntax highlighting like most software development programs do., Microsoft Visual Studio Code|Eclipse IDE for C Developers|Borland C++Builder|BloodshedSoftware Dev-C++|ZinjaI|Eclipse IDE for C Developers|Freescale CodeWarrior Development Tools|ZinjaI|Eclipse IDE for C Developers|ZinjaI, https://fileinfo.com//extension/c
.gs, Developer Files, Google Apps Script, Script written in Google Apps Script. a programming language based on JavaScript and used for automating tasks across Google products online; used for creating online Web applications. such as a Web interface. a program that sends custom emails. or a program that automatically fills and formats Google Docs documents., Google Apps Script|Geosoft Oasis montaj, https://fileinfo.com//extension/gs
.scm, Plugin Files, Scheme Source Code File, Script written for the GIMP image editing program; used for automating actions or adding artistic effects to images opened in the GIMP editor; similar to a Photoshop plugin. but saved as a script file., SmartGuyz ScreenCam|Sanny Builder|Rockstar Games Grand Theft Auto: San Andreas|SamyGO ChanEdit|SamyGO ChanEdit|SamyGO ChanEdit|MIT/GNU Scheme|KMPlayer, https://fileinfo.com//extension/scm
.cxt, Developer Files, CX-Programmer Project Text File, Project file created by CX-Programmer. a PLC programming application included with OMRON's CX-One package; saves a developer project in a plain text format and includes the user programs and data parameters., OMRON CX-One, https://fileinfo.com//extension/cxt
.swc, Developer Files, Flex Components Archive, Contains a group of components and other assets used by an Adobe Flex application; includes a .SWF file and a catalog.xml file. which lists the contents of the package and the individual components; generated by the Animate authoring tool and compressed using the PKZIP archive format., Adobe Flex|Adobe Animate CC 2019|Adobe Flex|Adobe Animate CC 2019, https://fileinfo.com//extension/swc
.patch, Developer Files, Patch File, File created by Mercurial. a control management developer tool; contains the differences between two different versions of the same text or source file; used by developers that are making changes to different versions of the same file; enables updating of older text files to newer version text files., Mercurial|Mercurial|Mercurial, https://fileinfo.com//extension/patch
.proto, Developer Files, Protocol Buffer File," Developer file created in Google's Protocol Buffer format. a data serialization format used for exchanging data; specifies one or more ""messages"" as logical records. each of which contains name-value pairs (e.g.. a Person message may have an ID. name. and address); designed as an alternative to XML for data exchange.", protobuf|protobuf|protobuf, https://fileinfo.com//extension/proto
.sb3, Developer Files, Scratch 3.0 Project File, An SB3 file is a project created with Scratch 3.0. a program development platform created at the Massachusetts Institute of Technology (MIT).  It contains a program written in Scratch programming language. which is used for creating stories. small games. and animations.  SB3 files replaced Scratch .SB2 files., Scratch Desktop|Scratch Desktop|Scratux|Scratch, https://fileinfo.com//extension/sb3
